Variant 	p_11	p_12	p_13	p_21	p_22	p_23	p_31	p_32	p_33
1		0.2	0.2	0.6	0.1	0.2	0.7	0.6	0.2	0.2
2		0.1	0.6	0.3	0.4	0.2	0.4	0.5	0.2	0.3
3		0.3	0.1	0.6	0.2	0.3	0.5	0.2	0.3	0.5
4		0.5	0.2	0.3	0.1	0.4	0.5	0.1	0.4	0.5
5		0.5	0.2	0.3	0.1	0.2	0.7	0.7	0.1	0.2
6		0.2	0.1	0.7	0.2	0.2	0.6	0.4	0.4	0.2
7		0.2	0.1	0.7	0.2	0.5	0.3	0.2	0.7	0.1
8		0.3	0.4	0.3	0.1	0.4	0.5	0.3	0.2	0.5
9		0.2	0.3	0.5	0.3	0.3	0.4	0.6	0.3	0.1
10		0.2	0.2	0.6	0.5	0.1	0.4	0.5	0.1	0.4
11		0.3	0.3	0.4	0.2	0.5	0.3	0.6	0.3	0.1
12		0.1	0.7	0.2	0.5	0.1	0.4	0.2	0.1	0.7
13		0.2	0.2	0.6	0.6	0.1	0.3	0.4	0.3	0.3
14		0.1	0.4	0.5	0.1	0.8	0.1	0.5	0.3	0.2
15		0.5	0.2	0.3	0.5	0.1	0.4	0.5	0.3	0.2
16		0.1	0.1	0.8	0.5	0.1	0.4	0.3	0.3	0.4
17		0.5	0.1	0.4	0.1	0.4	0.5	0.2	0.4	0.4
18		0.3	0.3	0.4	0.1	0.2	0.7	0.2	0.6	0.2
19		0.5	0.1	0.4	0.2	0.5	0.3	0.6	0.2	0.2
20		0.1	0.6	0.3	0.1	0.5	0.4	0.3	0.4	0.3
21		0.1	0.5	0.4	0.2	0.6	0.2	0.1	0.8	0.1
22		0.5	0.3	0.2	0.4	0.1	0.5	0.5	0.1	0.4
23		0.4	0.1	0.5	0.4	0.1	0.5	0.1	0.2	0.7
24		0.3	0.3	0.4	0.2	0.5	0.3	0.1	0.2	0.7
25		0.4	0.4	0.2	0.3	0.3	0.4	0.4	0.5	0.1
26		0.3	0.3	0.4	0.5	0.1	0.4	0.7	0.1	0.2
27		0.4	0.1	0.5	0.1	0.5	0.4	0.7	0.2	0.1
28		0.1	0.4	0.5	0.2	0.1	0.7	0.6	0.2	0.2
29		0.5	0.3	0.2	0.1	0.2	0.7	0.1	0.3	0.6
30		0.3	0.4	0.3	0.2	0.4	0.4	0.3	0.3	0.4
31		0.6	0.1	0.3	0.3	0.2	0.5	0.4	0.3	0.3
32		0.2	0.3	0.5	0.2	0.4	0.4	0.5	0.1	0.4
33		0.1	0.2	0.7	0.3	0.2	0.5	0.6	0.1	0.3
34		0.1	0.5	0.4	0.6	0.1	0.3	0.5	0.2	0.3
35		0.5	0.3	0.2	0.5	0.1	0.4	0.2	0.5	0.3
36		0.4	0.4	0.2	0.2	0.3	0.5	0.4	0.1	0.5
37		0.1	0.3	0.6	0.1	0.5	0.4	0.1	0.5	0.4
